f_pois,s_pois,reg_score,priority,office_id,score
754|35|4674|5018|5017|4683|4538|4610|5016|4423|5036|4395|4558|4540|4559|4676|4682|4539|4560|4519|4518|4635|7390|7220|8265|8345|11471,754|35|4674|5018|5017|4683|4538|4610|5016|5036|4540|4559|4682|4539|4560|4518|7390|7220|8265,"type                                                        foot
office_id                                                    329
geometry       POLYGON ((425524.4243862388 6181161.370290871,...
id_left                                                      656
priority                                                    None
index_right                                                17451
id_right                                                   17458
reg_id                                                 Восточный
score                                                    15850.9
Name: 328, dtype: object",1,328,17333.897082714189
2265|2153|2262|2152|1604|2172|2263|1963|2242|2233|1967|1962|2171|2241|2234|1593|1968|2264|2270|8390|9953|10672|11884,2265|2262|2152|1604|2172|2263|2264|2270|8390|11884,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 774, dtype: object",2,774,16922.739377927232
639|331|2236|1586|2239|1594|2203|1970|2217|2218|1960|2164|2160|1762|1971|1585|1595|2189|2216|2219|2188|10723,331|1970|2217|2218|1960|1971|1585|1595|2189|2216|2219|2188,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 773, dtype: object",3,773,17435.739377927232
558|144|780|5873|5872|6097|5813|5791|6098|6099|6096|5812|6576|6583|6584|7385|8107|8108|9708|9707|11683|11684,558|144|780|6097|5813|5791|6098|6099|6096|6583|7385|8107|8108|9708|9707|11683|11684,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 960, dtype: object",4,960,18040.739377927232
174|2565|2566|2600|2601|2564|10412|10495,2564|10493|10492,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 959, dtype: object",5,959,16451.739377927232
8449|8450|8451|8448|8478|8452|11415|11516,,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 958, dtype: object",6,958,16372.73937792723
601|1637|1645|1838|2430|1636|1646|1829|1837|9401|9981,601|1644|1637|1645|1838|9981,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 957, dtype: object",7,957,16582.739377927232
208|6538|6519|6539|6688|6518|6540|6865|10620,,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 956, dtype: object",8,956,16412.739377927232
8202|8208|9895|9896|11538,8203,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 955, dtype: object",9,955,16337.73937792723
925|4028|4029|4063|4091|4062|4092|6425|6440|6354|6462|6253|6270|8124|8126|9945,4062|4092,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 954, dtype: object",10,954,16802.739377927232
2261|2266,2261|2266,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 772, dtype: object",11,772,16302.73937792723
640|1651|1631|1724|1559|1487|1555|1473|1474|1726|1725|2257|2258|2277|2338|2349|9025|9103|9252|9652|9653|10797,1651|1631|1724|1559|1487|1555|1473|1474|1726|1725|2257|2258|2338|2349|9025|9103,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 771, dtype: object",12,771,17040.739377927232
82|78|787|6722|74|857|974|86|6725|6721|6724|6723|6720|6711|7342|8751|8748|9193|9194|9189|9616|9192|11063|11064|11061|11060,82|78|974|6725|6721|6720|6711|7342|8751|8748|9193|9194|11063|11064|11061|11060,"type                                                        foot
office_id                                                   1500
geometry       POLYGON ((417093.9296387915 6170635.000412651,...
id_left                                                     2890
priority                                                    None
index_right                                                86810
id_right                                                   87638
reg_id                                                     Южный
score                                                  0.0935119
Name: 1482, dtype: object",13,1482,17089.449549662764
960|1961|1959|1969|1972|1973|2206|2235|2240|10460|10457|10458|10459|10461,1961|1959|1969|2235|2240|1586|1594|2236|2239,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 770, dtype: object",14,770,17037.739377927232
1977|1709|2151|2125|1722|2221|1710|2230|2552|1982|2150|2126|2222|2229|2541|2149|8210|9099|11658|10877,2552|2150|2126|2222|2229,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 769, dtype: object",15,769,16737.739377927232
334|234|3761|3777|3632|3665|3633|7735|7730|7506|8154|9703|9709|9915|9916,3778|9703|9915|9916,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 949, dtype: object",16,949,16692.739377927232
752|585|1771|1757|2297|2456|2464|1770|7922|8122|8659|8661|9608|11671,752|1757|2297|2464|7922|8122|8659|8661|9608,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 948, dtype: object",17,948,17312.739377927232
767|4618|4630|4627|4628|4619|4620|4629|6401|6402|7521|7140|8004|9547,767|4619|4620|4629|6402|7521,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 947, dtype: object",18,947,17137.739377927232
723|611|2462|1839|2256|2028|2035|2458,2462|1839|2256|2028|2035|1646,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 768, dtype: object",19,768,16607.739377927232
547|586|1766|2137|1895|2136|2135|2138|1996|1894|1763|1765|2162|2191|2192|2193|2208|2237|2238|2269|2295|2309|2317|2318|8391|9751|9991|10023|10024|10548|10109,547|586|1766|1895|2136|1996|1894|2162|2191|2208|2237|2238|2269|2295|2318|8391|9751|9991|10023|10024|10548|10109,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 767, dtype: object",20,767,17850.739377927232
32|25|5005|5012|5256|5004|5013|5014|5251|5252|5257|5258,5005|5012|5251|5252|5257,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 944, dtype: object",21,944,16585.739377927232
4376|4358|4377|4357|4378|4356|5072|5073|5074|5076|5077|4379|5079|5080|5078|5081|6370|6404|7519|7511|7527|7526|7083|7084,4377|4357|4378|4356|5072|5073|5077|5078|7084,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 943, dtype: object",22,943,16917.739377927232
630|1821,630,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 766, dtype: object",23,766,16277.73937792723
1185|1273|924|879|907|784|1875|1861|1866|2296|2344|8128|9391|9390|10048|10133|10132,907|784|1861|1866|2344|10133|10132,"type                                                        foot
office_id                                                   1500
geometry       POLYGON ((417093.9296387915 6170635.000412651,...
id_left                                                     2890
priority                                                    None
index_right                                                86810
id_right                                                   87638
reg_id                                                     Южный
score                                                  0.0935119
Name: 1471, dtype: object",24,1471,16571.449549662764
2416|1989|1987|1879|1941|1942|1889|1890|2555|10567|9928,2555,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 765, dtype: object",25,765,16457.739377927232
575|1985|1991|1538|1986|1990|2144|2131|2143,575|1991|1986|1990|2144|2416|1989,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 764, dtype: object",26,764,16622.739377927232
375|376|355|2609|2633|2797|2611|2640|2781|2785|2876|2612|3194|3173|8776|11024,355|2609|2633|2797|2611|2610|2640|2781|2785|2876|2612|3194|3173|8776|11024,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 939, dtype: object",27,939,17107.739377927232
349|280|3069|2968|2969|2970|3067|4493|6262|7419|7418|7416|7417|10724|11545|10697,349|3069|2968|3068|2969|2970|3067|4493|6262|7418|7417|11545|10697,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 938, dtype: object",28,938,17212.739377927232
