f_pois,s_pois,reg_score,priority,office_id,score
4423|4395|4610|4683|5036|4674|754|4538|5016|5017|5018|4540|4558|4559|4682|4676|35|4518|4519|4539|4560|4635|8265|7390|7220|8345|11471,4610|4683|5036|4674|754|4538|5016|5017|5018|4540|4559|4682|35|4518|4539|4560|8265|7390|7220,"type                                                        foot
office_id                                                    329
geometry       POLYGON ((425524.4243862388 6181161.370290871,...
id_left                                                      656
priority                                                    None
index_right                                                17451
id_right                                                   17458
reg_id                                                 Восточный
score                                                    15850.9
Name: 328, dtype: object",1,328,17333.897082714189
2153|2262|2265|2152|1604|2172|2270|2264|2263|1963|2242|2233|1967|1962|2171|2241|2234|1593|1968|8390|9953|10672|11884,2262|2265|2152|1604|2172|2270|2264|2263|8390|11884,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 774, dtype: object",2,774,16922.739377927232
639|1586|1594|1970|331|1960|2203|2217|2218|2236|2239|2164|1762|2160|1971|1585|1595|2189|2188|2216|2219|10723,1970|331|1960|2217|2218|1971|1585|1595|2189|2188|2216|2219,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 773, dtype: object",3,773,17435.739377927232
144|558|780|5873|5872|6584|6576|7385|6097|5813|6583|8108|5791|9708|9707|8107|6098|6099|6096|5812|11683|11684,144|558|780|7385|6097|5813|6583|8108|5791|9708|9707|8107|6098|6099|6096|11683|11684,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 960, dtype: object",4,960,18040.739377927232
2565|174|2566|2600|2601|2564|10412|10495,2564|10493|10492,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 959, dtype: object",5,959,16451.739377927232
8451|8449|8450|8448|8478|11415|11516|8452,,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 958, dtype: object",6,958,16372.73937792723
601|1637|1645|1838|1636|1646|2430|1829|1837|9401|9981,1644|601|1637|1645|1838|9981,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 957, dtype: object",7,957,16582.739377927232
208|6688|6538|6519|6539|10620|6865|6518|6540,,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 956, dtype: object",8,956,16412.739377927232
8208|8202|9895|9896|11538,8203,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 955, dtype: object",9,955,16337.73937792723
4091|4028|4063|925|4029|4062|4092|6425|6440|6354|6462|8124|6253|6270|8126|9945,4062|4092,"type                                                        foot
office_id                                                    969
geometry       POLYGON ((397583.5096488828 6189434.477465495,...
id_left                                                     1844
priority                                                    None
index_right                                                70310
id_right                                                   70965
reg_id                                           Северо-Западный
score                                                    261.159
Name: 954, dtype: object",10,954,16802.739377927232
2261|2266,2261|2266,"type                                                        foot
office_id                                                    778
geometry       POLYGON ((397095.4969374534 6189911.325436699,...
id_left                                                     1488
priority                                                    None
index_right                                                67575
id_right                                                   68227
reg_id                                           Северо-Западный
score                                                    67.4918
Name: 772, dtype: object",11,772,16302.73937792723
